consumer_id,first_name,last_name,street,city,state,zip,email,phone,confidence_score,source,original_ids
a08e00b5c24c,Melanie,Moore,2431 Steven Locks Apt. 671,North Kayla,MN,935,,001-357-056-9905,0.8,MERGED,1105_105
be2978a32b71,Dawn,Alexander,95943 Williams Point Apt. 451,Andreaport,NC,1227,blawson@beck.com,367-059-9961x720,1.0,MERGED,1217_217
147d1bb38398,Kristen,Chen,71440 John Fords,West Samanthachester,MN,1512,,666-635-8016x87825,0.8,MERGED,1341_341
1ca27f731e16,Andre,Serrano,31651 Rachel Path,Mistyview,DC,1556,myerseric@wilson-watson.info,(569)857-4698x158,0.9309999999999998,MERGED,1376_376
d72aa7b7a5bb,Adam,Jones,19385 Kim Springs,Jeremiahberg,WI,1785,alicia69@oconnell-garner.com,678.551.5783x9615,1.0,MERGED,1496_496
0af96752bf09,Rebecca,Miller,21788 Welch Tunnel Suite 964,Lake Scottburgh,NJ,1969,michaelbrown@gmail.com,+1-018-458-2949,0.8380000000000001,MERGED,1246_246
60d2985080ea,Kevin,Santana,001 Michael Crescent Suite 763,South Katrina,MA,2113,lopezwarren@gmail.com,,0.788,MERGED,1262_262
293d4d69fad6,Amy,Hernandez,0196 Lee Gateway,Tylermouth,UT,2174,harperbrittany@garcia.com,+1-300-827-7357x127,1.0,MERGED,1178_178
b06dd9e8c4a9,Eric,Harris,04290 Henry Views Apt. 111,Huangchester,ID,2610,owalker@yahoo.com,(841)265-0994,1.0,MERGED,1416_416
f801f0fe1c7e,Brittany,Baxter,6236 Megan Summit Suite 408,Masontown,OK,3122,beltransamantha@johnson.org,(596)768-4859,0.919,MERGED,1415_415
2fd6c5edb154,James,Avila,5875 Regina Hollow Apt. 910,Stephanieport,NE,3290,pkennedy@johnson-jones.info,001-871-953-7832,0.97,MERGED,1098_98
120f96094f8d,Jasmine,Sharp,20399 Stephens Harbor Suite 284,Jillfurt,NV,3482,ckeller@frost-cameron.com,001-376-748-0357x34058,0.7070000000000001,MERGED,1102_102
52ae248d31a7,Gabriel,Miller,0845 Michael Mount,New Erin,AZ,3724,steverivera@hotmail.com,263.068.6853x638,1.0,MERGED,1167_167
9f1909374a22,Deborah,Ramos,4639 Fischer Dam,West Richard,MI,3747,,185.011.4785x62168,0.788,MERGED,1063_63
d2103ac34371,Harold,Ewing,5876 Matthew Expressway,South Carolineberg,OH,3751,,740-141-0625x850,0.8,MERGED,1084_84
b397df374eb8,Christopher,Sanders,20064 Dwayne Gardens Apt. 976,Garciafort,UT,3988,gduarte@gmail.com,177-002-1858,1.0,MERGED,1199_199
3d33fcd8a252,Christopher,Clark,09765 Nguyen Prairie Apt. 726,Bruceburgh,ND,4010,vazquezgregory@clayton.biz,,0.8,MERGED,1381_381
17686ac24735,Nancy,Wilson,129 Myers Plaza Suite 172,Jenkinston,HI,4160,,001-797-337-3311x6665,0.8,MERGED,1342_342
f905540938be,Ashley,Anderson,140 David Crest Apt. 825,Bryantville,DC,4476,peggyhoward@yahoo.com,001-793-062-7838x08000,0.9909999999999999,MERGED,1013_13
43c4c55ab738,Derek,Anderson,773 Kathleen Trail Suite 531,Port Wendy,WA,4831,,967.400.9661,0.8,MERGED,1395_395
5323461689a7,William,Santiago,97719 Carlson Islands Suite 961,Herrerachester,AZ,5003,,001-765-217-0489x7246,0.8,MERGED,1127_127
b999d711d261,Leslie,Hooper,1928 Roman Walk,North Danieltown,OR,5175,cyoung@anderson-munoz.com,578-409-2495,1.0,MERGED,1163_163
16b39f59b676,Richard,Lee,253 Carlos River Apt. 995,West Edwardmouth,DC,5231,timothy24@gmail.com,+1-014-516-5245x7202,1.0,MERGED,1078_78
f27571081918,Abigail,Navarro,37156 Victoria Ville,South Seth,AL,5257,michele02@jones.com,(558)502-9391x258,0.94,MERGED,1200_200
290234c1ee11,Mitchell,Dalton,705 Morrow Cove,Tranmouth,SC,5418,robinperkins@hotmail.com,,0.8,MERGED,1292_292
